"/imudata/orientation/x_x","/imudata/orientation/x_y"
11.17305899,-0.7345828414,
11.25605893,-0.3883895278,
11.33905888,-0.3594479561,
11.42105889,-0.5960180163,
11.50405908,-0.402464807,
11.58605909,-0.3869518042,
11.66805887,-0.01542643085,
11.75105906,-0.6086479425,
11.834059,-0.4251956046,
11.91605902,-0.6227164865,
12.00205898,-0.6820610762,
12.08835411,-0.5436450243,
12.17035413,-0.3545055985,
12.25335407,-0.3972831964,
12.33535409,-1.270761847,
12.41835403,-0.5061789751,
12.50135398,0.06478775293,
12.583354,0.3592872024,
12.66635394,-0.09825135767,
12.74935412,0.08789903671,
12.83135414,-0.2686041594,
12.91435409,0.8666160107,
12.9963541,0.9115998149,
13.07835412,-4.015771389,
13.16135406,2.089497089,
13.24435401,-2.785103798,
13.32635403,-5.387588501,
13.40935397,-0.07010912895,
13.49235392,0.05779214948,
13.57435393,-4.384605408,
13.65735412,-3.659834862,
13.74035406,-2.953276634,
13.82235408,-4.125137806,
13.90535402,-4.07846117,
13.98835397,-3.483090878,
14.07035398,-3.959995747,
14.15335393,-5.422986984,
14.23435402,-10.65370274,
14.31735396,6.283797264,
14.40035415,10.83736897,
14.48335409,9.820807457,
14.56935406,2.140073299,
14.65273619,21.00115776,
14.73573613,-6.23639679,
14.81773615,-12.06874847,
14.90073609,-4.760464191,
14.98273611,0.9703199267,
15.06473613,-0.2605040073,
15.14773607,1.457234144,
15.23073602,-0.8670655489,
15.31273603,-5.913166046,
15.39573622,-3.198664665,
15.477736,1.979195237,
15.56073618,-0.5439838171,
15.64173603,-2.014643192,
15.72473621,-2.275496721,
15.80773616,-1.092341423,
15.88973618,0.2172754705,
15.97273612,-0.08284222335,
16.05473614,-1.272226095,
16.13773608,-0.5582705736,
16.22073603,0.6575084925,
16.30273604,0.335098654,
16.38573599,0.0186071936,
16.46773601,0.1722252816,
16.55073619,0.5980007648,
16.63373613,-0.6502945423,
16.71673608,-1.009141207,
16.7987361,-0.1771268249,
16.87973619,-0.03736422211,
16.96273613,0.2267959267,
17.04473615,0.9686143398,
17.12973619,0.6430607438,
17.212152,-0.7771401405,
17.29415202,-1.4401052,
17.3771522,-0.6144677401,
17.45915198,1.276221514,
17.54215217,2.448084354,
17.62415218,3.162865639,
17.70715213,4.365391254,
17.78915215,3.900458813,
17.87215209,4.226656437,
17.95415211,5.1884799,
18.03715205,5.07997942,
18.11915207,5.120564461,
18.20015216,5.071613312,
18.2831521,5.652103901,
18.36515212,5.832748413,
18.44815207,5.986028671,
18.53115201,5.307824612,
18.61315203,6.126489639,
18.69615197,9.893467903,
18.77915215,16.12796211,
18.8621521,16.64439774,
18.94515204,7.781949997,
19.02815199,22.28544235,
19.11115217,24.34494591,
19.19315219,-29.25717926,
19.27615213,-13.87604523,
19.35915208,-22.8468647,
19.44315219,-6.139256477,
19.52415204,5.010825157,
19.60715199,-9.694026947,
19.69315219,-5.110856533,
19.77788615,-1.074224949,
19.85988617,-6.731494904,
19.94188619,0.8132014275,
20.02388597,2.871450663,
20.10688615,5.019756794,
20.18988609,2.835824013,
20.27288604,-1.592992067,
20.35488605,-3.277175426,
20.437886,-0.104891032,
20.51988602,1.548304677,
20.60288596,1.657925487,
20.68488598,-1.021268249,
20.76788616,-0.5561521649,
20.84888601,0.1041837037,
20.93188596,-0.4005861878,
21.01488614,-0.8918813467,
21.09788609,-0.6374773979,
21.1798861,-0.00611820817,
21.26288605,-0.4560410678,
21.34588599,-0.7906087637,
21.42788601,-0.7336251736,
21.51088595,-0.3378355205,
21.59388614,-0.3365979493,
21.67688608,-0.1763508469,
21.7588861,-0.4319923818,
21.84188604,-0.5206795931,
21.92488599,-0.2770104706,
22.00688601,-0.4316687584,
22.08988619,-0.5037868023,
22.17188597,-0.797667563,
22.25688601,-0.5275295377,
22.33965206,-0.1535632014,
22.42165208,-0.08570946753,
22.50465202,-0.400734067,
22.58765197,-0.3923130929,
22.66965199,-0.594461441,
22.75265217,-0.3290086985,
